OBJECTID,NEIGHBORHD,COMMERCIAL,GREEN,INDUSTRY,MULTIFAM,OTHER,PUBLIC,SINGLEFAM,STREET,VACANT,TOTAL
1,ALCOTT PARK,0.214922714,15.634010246,0,8.9417991969,13.1830377918,8.865077774,73.5771071952,29.8382042428,0.0638383803,150.317997541
2,ALVERNO,2.0188746355,17.2907717801,0,17.3663853469,0,44.319785412,24.7321427944,18.3936334088,1.7495906983,125.871184076
3,AMANI,9.4373559235,1.3803904051,0.1178172773,25.8441078635,1.4019606534,2.7609815868,26.1374310153,34.3835110352,10.6826214767,112.1461772368
4,ARLINGTON GARDENS,17.991262096,1.5454805091,0,24.0058886286,0.4061276679,10.8079912461,94.8092698831,65.4600503992,0.8386707516,215.8647411816
5,ARLINGTON HEIGHTS,9.4970097736,3.9694387418,0.7373755403,57.1009238414,1.8387512828,17.7979093339,66.9970220785,86.1277600176,6.1662119632,250.2324025731
6,AVENUES WEST,103.9507190051,2.0797789962,6.9658781325,54.6852679504,10.4154136173,36.7496286048,17.2746869011,116.6763956008,15.9172755489,364.7150443571
7,BARAN PARK,0.0900321806,32.4596252699,1.0961391741,4.0219795555,6.6274568128,3.5295111329,4.9051274919,25.2507792064,1.3796294752,79.3602802993
8,BAY VIEW,214.1614174313,134.3824735645,88.3598593735,189.3118230373,307.9523136937,34.1209668926,663.2703461081,449.5774561216,58.9003427867,2140.0369990093
9,BLUEMOUND HEIGHTS,13.3432716688,10.1974126859,1.0873103429,43.8250342313,13.2655937635,9.7579400031,126.3207902872,86.4388963442,2.8535993841,307.089848711
10,BORCHERT FIELD,3.899096384,67.5929419511,0,47.9303933675,1.6859059254,5.0122016592,46.3926504254,55.328800392,15.0395343765,242.8815244811
11,BRADLEY ESTATES,15.0576846177,5.409324672,25.1353624494,31.9220405804,12.365755051,21.4137633826,2982.9351491822,76.7703038284,21.1893250832,3192.1987088469
12,BREWER'S HILL,12.6468203916,0,2.0878541367,34.5079732419,8.1791694577,9.180171141,191.9157125604,54.6443701369,10.5481111153,323.7101821815
13,BROWN DEER PARK,0,333.0551532758,0,0,5.8808005713,0,0,9.4604958661,0,348.3964497132
14,BRYNWOOD,199.5426276706,0,75.6103306032,0,31.0903986249,14.7621037574,0.5400277649,31.112431781,44.9747828053,397.6327030073
15,BURNHAM PARK,45.1705026511,20.7152093323,11.6135864298,72.8547001803,18.3761968618,14.988633295,77.4411139003,100.3873787111,1.9023168019,363.4496381636
16,CALUMET FARMS,7.4585180006,121.5605064895,0,59.0585739548,6.1731576004,87.1958116301,293.4116005329,76.219610711,72.8027325107,723.88051143
17,CAMBRIDGE HEIGHTS,2.8717106951,17.8510979667,0,26.4334170165,10.2480523234,0,25.9642153903,30.2044273721,0.1535638706,113.7264846347
18,CANNON PARK,38.5557182645,10.898456914,0,27.0617276105,27.1752658944,17.2410767679,63.1750062561,69.8024205868,6.5139084054,260.4235806996
19,CAPITOL HEIGHTS,89.1911492215,0.1345317532,11.8591578775,45.4821219312,2.7771745487,29.5337167072,167.9174205764,157.4141894315,4.4277528314,508.7372148786
20,CASTLE MANOR,26.7599549254,0,0,41.6588331926,22.0096792134,12.1875387694,650.9371914805,84.1385816501,0.9813741679,838.6731533993
21,CLARKE SQUARE,28.545110477,2.0115170663,0.4152828576,58.777956516,0.7392526099,9.8868122063,42.8409010397,75.5249025535,2.5361813212,221.2779166475
22,CLAYTON CREST,12.9862449555,0,0,7.6687949664,6.9551043917,9.3825975363,122.8198868917,49.9677198335,0.1238887081,209.9042372832
23,CLOCK TOWER ACRES,12.1841569136,1.999878928,13.9218096948,9.0158743584,6.8488450267,1.8113859689,64.7499075452,67.2889058611,2.2226868894,180.0434511861
24,COLD SPRING PARK,8.4617551724,0,1.1246623698,25.7967025099,1.5905894639,2.5141805368,13.5878646778,30.491988275,1.5872770452,85.1550200508
25,COLLEGE HEIGHTS,26.4922247782,5.384596653,2.6437565965,0,26.0067566654,0,245.9939962165,77.413909922,9.2555641281,393.1908049597
26,COLUMBUS PARK,10.9886752283,9.7007234922,0,33.6244496741,2.66e-8,0.206271528,115.9947538115,88.9160585174,0.6190466871,260.0499789652
27,CONCORDIA,15.8495982101,0,0.2351033591,27.4389828237,7.4434103652,11.6395463766,19.5350540934,34.7607505801,3.3788508519,120.2812966601
28,COOPER PARK,4.0707337145,7.7400423499,0,23.7018139617,0,5.0245604967,133.0346682216,90.0067209968,0.2504855177,263.8290252589
29,COPERNICUS PARK,20.533047523,18.9113444229,0,1.7132568271,34.677476615,1.1180546255,669.8880916929,38.382385289,7.1743906665,792.3980476619
30,DINEEN PARK,16.779333407,311.3691943248,3.4011941577,50.9103821247,0.9014878545,13.2537520727,155.9038013772,101.4336653338,0.9821965432,654.9350071956
31,DOWNER WOODS,11.7629030072,0,0,27.898639017,0.8754017526,93.6398604205,214.3794415432,57.1910138811,6.5565871269,412.3038467485
32,DRETZKA PARK,332.2192993588,0,17.4573929863,23.8092300577,4.9353148589,0,379.2448984391,27.1216642689,53.1601759722,837.9479759419
33,ENDERIS PARK,9.0879899329,13.9002185686,0.2008605983,37.9320120001,8e-10,0.4820186925,90.5408532639,71.2834724758,0.102128544,223.5295540769
34,ESTABROOK PARK,23.8605519138,74.302232594,10.7404775461,4.2307703731,38.7803882597,8.4005870456,0.8272158785,19.2414811498,5.9845659423,186.3682707029
35,EUCLID PARK,5.003050124,8.4216458961,0.2684194788,27.4946543137,4.325735452,0,103.3371187644,35.7840088887,1.215154849,185.8497877667
36,FAIR PARK,39.9486467519,0,31.3076008196,15.3007690952,13.381569372,4.2734404286,33.2576550479,66.3454242962,44.3322587328,248.1473645442
37,FAIRFIELD,127.8703389606,1.033380936,153.6218658004,41.9754804874,63.632763064,17.3448410124,48.5464925639,74.77570922,14.722215531,543.5230875757
38,FAIRVIEW,4.8863083052,2.0030461392,0,24.0072793188,0.0234695965,9.9935145359,166.0304296352,103.975293982,0.1247762036,311.0441177164
39,FERNWOOD,2.6898828738,10.6441045429,0.1650960862,35.1690524218,0.4506187662,4.7715432379,78.2217593838,67.8830334332,4.9188990352,204.913989781
40,FLORIST HIGHLANDS,6.9087078112,11.8004765474,0.5210127646,25.3222170864,12.9121129892,0,72.5037421374,82.6370475866,11.2143561072,223.81967303
41,FOREST HOME HILLS,8.512902593,211.7045746509,22.9450223431,45.3095465681,8.0962377,6.2518256621,26.5206998465,61.1449267989,1.2881500074,391.77388617
42,FRANKLIN HEIGHTS,20.6179543808,1.082183453,10.5175033653,87.4628522304,11.6028994946,7.0035814601,98.6580554276,134.7127493017,80.4484001205,452.106179234
43,FREEDOM VILLAGE,10.6568460456,0,14.2404439333,2.7383363192,1.7e-8,6.6228263742,1926.8186038798,8.5193107562,27.9323549517,1997.528722277
44,GARDEN HOMES,18.7448311132,1.7741202397,40.2076372203,28.9581055874,18.7196490398,6.9968722514,39.7352733615,71.8838986589,14.1209013625,241.1412888347
45,GOLDEN GATE,0.2641003069,25.1612432348,0,0,0,0,81.538045743,29.9391277425,0,136.9025170272
46,GOLDEN VALLEY,5.5770207483,11.244585839,0,14.7474434045,0.4492644259,6.7522862004,131.1838715531,76.7777569482,0.4825244915,247.2147536109
47,GOLDMAN PARK,7.674442552,0,0.5148167263,11.794203861,6.04e-8,6.7966375744,125.2024188639,64.3105325079,0.4364264015,216.7294785474
48,GRA-RAM,19.4408809774,0,0,21.688320739,3.9238346407,17.6428645257,83.7969799636,53.8956405027,0,200.3885213491
49,GRACELAND,25.8950054177,113.1024187752,24.0078358836,30.2240017998,17.6171671057,0,118.1201368522,74.8537348581,13.5310885314,417.3513892237
50,GRANTOSA,4.0539657426,8.7757989433,0,31.7180619124,1.1240173593,45.7239436499,1177.1186991817,32.8214238864,0.3483275015,1301.6842381771
51,GRANVILLE WOODS,23.2188279157,0,42.7223441837,0,2.6430906442,2.439442239,0.7910170848,10.4837713362,9.5791872571,91.8776806607
52,GRASSLYN MANOR,3.7031460461,0.2840342871,0,59.5355729814,0.3468816892,11.3408858308,121.3848557031,110.1840404319,1.0230930801,307.8025100497
53,GREEN MOOR,8.8188641409,10.8741086995,0.9527223146,3.9891671199,0.2074688356,7.288459137,33.9027505315,23.6932338187,7.5477924943,97.274567092
54,GROVER HEIGHTS,16.9038506079,0.1418945383,6.4360639247,3.0432898148,1.7342227667,1.9949326543,7.162723258,18.8435920374,1.1075737092,57.3681433113
55,HALYARD PARK,11.7457061824,0,3.1186302635,5.2285179011,1.5930249309,5.1365187762,30.6853068099,33.1513308242,3.2549787072,93.9140143954
56,HAMPTON HEIGHTS,10.3975005971,7.6985544977,0.1858424762,53.8053970273,3.6686018837,43.0746233517,235.0244475721,135.7359511067,5.4967725018,495.0876910143
57,HARAMBEE,36.4214276863,10.7128409292,2.8528695291,171.9767228717,14.080623734,35.9958123558,125.0129767827,274.1470456813,56.9113850868,728.1117046569
58,HARBOR VIEW,45.3915776339,4.7638051958,51.9003189509,4.2029540729,54.4845072219,6.4583914257,88.1178682595,47.1732163097,50.64377728,353.1364163503
59,HARDER'S OAKS,0.107500086,0,0,1.4194607871,0,7.3676349481,16.6540600922,11.6109638818,0.1074987457,37.2671185409
60,HAVENWOODS,19.4530891614,225.374016656,34.1721412435,0.4750863806,36.8905212363,112.8703196016,22.8227116247,48.4655127992,4.7647679788,505.2881666821
61,HAWLEY FARMS,2.8658570555,0,0,13.0983726107,0,6.3828846974,88.0768152053,39.9588691938,0.0003639336,150.3831626963
62,HAWTHORNE GLEN,3.0247922658,21.2028488802,3.49421881,4.6549132191,7.1535711245,0.8081110006,9.2565784153,16.0653538769,1.3761860013,67.0365735937
63,HAYMARKET,15.5660249837,0,4.9432639602,0.8345515267,5.9729157265,2.1424423508,0,19.0464891225,0.528606282,49.0342939524
64,HERITAGE HEIGHTS,44.9355191817,12.8397658186,0,0.6095385531,0,16.1958746671,68.4307170587,62.4514244172,46.5986620951,252.0615017915
65,HIGHWOOD ESTATES,3.2063067515,0,0,34.6750624742,1.7078419101,2.6020174308,78.5718778643,37.7537413696,0.1427140603,158.6595618608
66,HILLSIDE,29.0160576572,21.5417082116,0.3201903957,15.9992843192,7.2064003952,15.4447080161,1.2015577473,58.9114294466,0.3171012923,149.9584374812
67,HILLTOP PARISH,61.4368529258,0,0,1.8303381264,7.0670141085,4.2348447029,9.0917350598,11.7641093624,11.2933959161,106.7182902019
68,HISTORIC MITCHELL STREET,38.9942237438,0.218768034,1.014625634,81.4416800013,3.3329749375,36.9759385774,61.7487245897,127.4745916031,6.8239648393,358.0254919601
69,HISTORIC THIRD WARD,131.6802397067,0,5.9808598018,3.2562972682,71.8492198189,0,441.2047013291,66.3730452432,2.7159261271,723.060289295
70,HOLLER PARK,45.4862266508,14.2955248699,33.3004862816,1.9514201894,3.7735392803,0,32.2547376105,33.1782950405,7.5801401901,171.8203701131
71,HONEY CREEK MANOR,6.1512742861,0,0,27.6792462364,13.1144274481,9.2726803477,110.3270022337,68.3739643178,0.1268821428,235.0454770126
72,HONEY CREEK PARKWAY,8.7912174623,31.1951794886,0,9.656804296,6.8544825604,17.5833270591,45.505893962,38.5310959824,1.3684508704,159.4864516812
73,JACKSON PARK,8.4755163971,181.7349928676,18.3544348772,82.9872438304,16.9989462641,20.6253692299,299.032279698,184.7046368718,0.7683929391,813.6818129752
74,JOHNSON'S WOODS,6.1715297255,14.3895521266,1.4768186882,31.0132850097,9.1433708057,10.4599129134,77.9519115817,74.012884536,2.1415809682,226.760846355
75,JONES' ISLAND,0,0,8.8185271531,0,159.8671353,0,0,16.9535639099,0,185.639226363
76,JUNEAU TOWN,101.3841376022,3.773943138,3.9317868651,15.8244675151,33.8719465812,13.8008298668,1028.5101053955,162.8720590547,8.303322761,1372.2725987796
77,KILBOURN TOWN,121.9606370664,3.1091625378,6.9737533559,13.4898803429,38.53735545,36.2982188298,67.7214222259,186.8899131659,11.2131493445,486.1934923191
78,KING PARK,4.1792682752,19.8489884979,2.5677359673,89.2355650403,0.3421288275,13.4061505359,17.0962233935,60.9468447438,14.8888270667,222.5117323481
79,KOPS PARK,5.2578125096,7.6752735793,0,11.0562185569,0,9.1485630384,123.8201028521,85.3185820893,0.5290427045,242.8055953301
80,LAKE PARK,24.9070651865,160.930463195,0,0,111.9626552188,0,0,7.9639200559,0,305.7641036562
81,LAND BANK,197.3098373247,0,455.8385091211,7.5972607209,48.4477042552,13.4417730004,14.2070986375,110.9777476805,87.3646419861,935.1845727264
82,LAYTON PARK,40.06222809,32.8790453283,20.6696392912,69.7516245069,53.970040708,37.6917562761,91.863666318,132.7515642948,5.9081534285,485.5477182418
83,LENOX HEIGHTS,6.8768538209,0,0,21.6779390863,0.0817428911,7.0456049418,33.0452398074,36.0650923406,0.4176985225,105.2101714106
84,LINCOLN CREEK,35.4311729915,53.6629702364,1.8483643491,63.259471866,26.8264166998,20.5515266397,189.9067177681,171.8221153522,10.8852644103,574.1940203131
85,LINCOLN PARK,28.881601676,153.8580986699,11.6238182051,55.8515669578,20.1364315078,21.8438902112,154.5948589677,132.9817789146,8.8752535746,588.6472986847
86,LINCOLN VILLAGE,20.3538930854,43.5149219936,0.2192725267,111.3503773406,17.2676951182,9.1367046664,60.4826292204,126.4613001293,9.3525026755,398.1392967561
87,LINDSAY PARK,5.3958133337,12.3634036455,0,62.8904745882,6.9842621882,20.2380642604,116.3577237355,99.2016025067,0.2573556873,323.6886999455
88,LITTLE MENOMONEE PARKWAY,0.3373155521,94.4309888576,0,7.468811164,0,0,81.7722370894,43.4317992272,4.205193419,231.6463453093
89,LONG VIEW,22.3508005092,0,0,22.9745675596,4e-10,8.7902742765,112.2450692105,94.4699093522,2.7081617431,263.5387826515
90,LOWER EAST SIDE,88.9078243736,23.8913125101,1.9988616993,105.9100033783,43.4861570253,4.4811902372,1340.4495650812,491.9835770086,12.6744739032,2113.7829652168
91,LYONS PARK,7.3811895913,14.8703975545,0,10.2182729634,1.8969509166,7.3317328496,190.3595134309,35.6656223098,0.1334446149,267.857124231
92,MACK ACRES,0,0,0,1.1046004537,0,6.2266108703,69.3737037762,43.6985147727,12.5261964517,132.9296263246
93,MAITLAND PARK,35.3546565083,25.0156324563,6.8167962071,9.6893215289,60.49035309,4.3426983078,55.14098595,68.3352713589,9.9199189296,275.1056343369
94,MAPLE TREE,3.9558774688,13.8037891937,0,42.9675766898,0,16.8237012569,905.5006474917,49.2874423771,6.900354855,1039.239389333
95,MARQUETTE,10.5963162884,0,0.3453275821,0.7074363484,0,45.9749332188,0,20.4186721117,1.4613499669,79.5040355163
96,MARTIN DRIVE,6.7247373605,3.4029615988,17.1244940742,30.5904313213,8.4038722862,0.4910922014,18.1939362689,39.8003845363,1.2903897383,126.0222993859
